iter	RMSE
177	3692631.61
178	3684019.009
179	3666851.283
180	3657765.859
181	3645171.901
182	3630687.143
183	3616117.735
184	3602993.004
185	3593592.914
186	3581134.467
187	3568065.377
188	3557378.815
189	3548239.031
190	3534384.589
191	3527249.173
192	3520619.977
193	3509165.906
194	3499123.551
195	3488726.466
196	3471254.963
197	3463770.36
198	3456587.829
199	3450091.771
200	3436425.649
201	3428764.929
202	3423405.071
203	3417748.754
204	3405528.182
205	3397320.124
206	3388140.756
207	3380415.368
208	3365967.265
209	3352183.486
210	3343424.834
211	3335433.481
212	3326961.349
213	3317203.972
214	3305292.773
215	3300105.781
216	3287932.766
217	3280289.082
218	3271972.736
219	3260146.081
220	3246401.185
221	3238553.577
222	3228021.392
223	3219971.756
224	3214342.065
225	3200323.088
226	3186318.067
227	3172375.907
228	3161568.23
229	3156290.742
230	3142248.381
231	3132103.344
232	3126013.565
233	3117630.591
234	3111756.579
235	3105728.412
236	3097985.446
237	3089767.519
238	3083598.914
239	3074729.487
240	3067466.89
241	3056940.638
242	3049734.145
243	3041038.279
244	3034169.516
245	3028107.711
246	3017971.619
247	3010379.504
248	3001172.223
249	2992966.903
250	2984113.686
251	2975619.854
252	2965729.468
253	2959409.818
254	2948891.819
255	2944498.446
256	2934857.844
257	2930361.199
258	2918920.806
259	2912884.037
260	2904938.728
261	2899870.9
262	2896252.332
263	2890558.059
264	2883026.352
265	2872626.023
266	2865472.779
267	2857580.526
268	2847344.834
269	2840814.003
270	2834429.915
271	2828347.439
272	2821699.451
273	2811066.534
274	2804572.853
275	2795977.467
276	2790382.706
277	2783142.324
278	2777845.929
279	2772387.812
280	2767640.989
281	2758009.368
282	2747466.481
283	2741190.677
284	2726800.056
285	2720899.936
286	2714408.424
287	2708082.004
288	2699755.701
289	2691376.304
290	2686755.285
291	2682577.995
292	2674249.367
293	2669597.963
294	2665394.65
295	2658268.767
296	2653607.301
297	2648339.216
298	2640602.66
299	2628969.187
300	2623431.364
301	2618562.167
302	2611944.747
303	2604540.93
304	2596966.81
305	2586181.428
306	2580904.504
307	2574640.439
308	2563041.611
309	2559100.48
310	2554177.352
311	2547385.304
312	2542674.994
313	2537708.432
314	2534263.628
315	2528840.865
316	2522591.993
317	2517600.835
318	2509613.94
319	2503513.686
320	2494554.255
321	2486234.296
322	2477948.183
323	2472565.094
324	2468171.697
325	2460594.773
326	2455096.222
327	2449058.358
328	2445364.455
329	2435568.965
330	2430528.994
331	2426613.345
332	2420464.302
333	2415351.682
334	2407375.992
335	2399048.898
336	2394671.747
337	2390002.974
338	2384137.275
339	2379313.556
340	2376570.158
341	2370302.949
342	2366176.101
343	2359659.769
344	2354527.52
345	2350584.743
346	2347420.769
347	2341508.76
348	2337498.083
349	2331479.58
350	2321670.64
351	2315754.779
352	2308738.743
353	2304447.883
354	2300863.523
355	2294789.436
356	2288530.366
357	2285107.301
358	2278643.706
359	2272557.595
360	2270022.964
361	2266407.953
362	2260657.354
363	2253188.528
364	2247935.094
365	2243878.896
366	2239587.327
367	2233968.228
368	2231677.269
369	2225715.336
370	2223049.446
371	2216302.807
372	2210063.021
373	2204762.262
374	2199102.715
375	2192339.417
376	2189508.815
377	2182456.464
378	2178452.286
379	2172492.301
380	2164229.241
381	2158147.12
382	2153347.842
383	2149042.671
384	2145552.02
385	2140093.196
386	2135093.379
387	2130548.035
388	2124005.307
389	2119246.146
390	2116849.614
391	2109315.462
392	2102440.719
393	2094867.765
394	2089827.031
395	2085480.026
396	2082535.427
397	2079202.233
398	2075551.699
399	2070102.061
400	2063430.557
401	2057023.008
402	2052721.576
403	2047710.026
404	2043481.308
405	2037622.035
406	2032325.959
407	2026298.914
408	2019864.584
409	2017052.144
410	2012934.174
411	2005114.142
412	1997288.592
413	1992073.155
414	1983481.576
415	1977059.254
416	1973808.634
417	1968732.292
418	1965581.935
419	1962992.155
420	1956951.727
421	1953983.895
422	1951679.593
423	1948778.165
424	1943624.849
425	1938390.934
426	1933594.036
427	1931118.868
428	1927799.103
429	1923924.569
430	1921561.409
431	1914434.647
432	1911174.931
433	1906608.636
434	1902709.724
435	1900572.336
436	1894386.449
437	1887637.605
438	1882806.583
439	1879091.325
440	1876425.288
441	1871062.006
442	1866924.751
443	1863296.548
444	1857818.285
445	1855260.268
446	1852630.651
447	1850162.396
448	1848341.165
449	1844292.258
450	1840921.297
451	1837357.406
452	1831822.645
453	1828708.198
454	1825786.607
455	1821424.718
456	1816563.065
457	1813038.736
458	1805908.011
459	1802910.365
460	1799374.083
461	1792807.503
462	1790466.205
463	1785508.684
464	1780909.321
465	1776472.68
466	1772108.304
467	1768992.374
468	1765017.088
469	1762032.757
470	1758745.884
471	1754239.241
472	1750934.35
473	1747898.637
474	1743390.161
475	1739665.444
476	1736025.857
477	1730071.673
478	1728028.32
479	1724120.825
480	1721349.814
481	1718088.309
482	1713862.28
483	1709668.28
484	1706538.721
485	1702509.36
486	1699786.962
487	1695117.496
488	1690852.57
489	1687790.032
490	1685407.119
491	1680265.154
492	1677145.72
493	1672607.293
494	1669754.259
495	1667042.743
496	1662034.556
497	1659359.304
498	1655937.56
499	1652695.524
500	1650768.689
501	1647253.188
502	1643834.463
503	1641102.195
504	1639204.119
505	1635032.999
506	1632385.664
507	1628621.733
508	1625782.833
509	1623822.704
510	1619542.709
511	1615459.726
512	1612694.418
513	1610295.27
514	1608659.715
515	1605458.841
516	1603448.309
517	1600724.797
518	1598167.966
519	1594732.931
520	1591928.892
521	1589035.956
522	1585929.91
523	1584164.073
524	1581540.755
525	1579859.663
526	1576699.402
527	1573905.325
528	1568261.925
529	1563330.403
530	1559081.283
531	1555915.86
532	1552376.947
533	1547553.365
534	1544410.048
535	1541582.799
536	1537314.52
537	1532908.98
538	1529162.889
539	1524149.738
540	1521998.192
541	1519485.176
542	1516351.927
543	1511640.583
544	1508937.829
545	1504905.721
546	1501975.834
547	1500142.798
548	1497038.579
549	1493736.385
550	1490036.68
551	1486974.405
552	1483883.672
553	1481877.291
554	1479700.697
555	1477892.314
556	1475479.342
557	1473276.265
558	1470467.446
559	1468003.663
560	1464221.513
561	1461555.699
562	1458360.308
563	1455989.645
564	1453402.337
565	1450189.907
566	1447622.933
567	1442842.906
568	1439641.361
569	1437513.682
570	1435697.014
571	1430016.714
572	1425410.188
573	1421863.013
574	1419484.634
575	1416676.977
576	1414206.612
577	1410756.266
578	1408758.34
579	1405068.886
580	1400036.323
581	1396565.654
582	1393115.19
583	1391087.217
584	1388841.754
585	1386223.357
586	1383038.55
587	1381691.026
588	1379808.941
589	1377214.848
590	1375086.293
591	1372106.954
592	1370664.747
593	1367520.669
594	1366111.055
595	1363962.908
596	1362064.147
597	1358975.745
598	1356765.796
599	1352155.592
600	1349475.381
601	1345678.643
602	1341734.56
603	1339114.021
604	1336528.918
605	1333484.372
606	1330385.323
607	1329033.362
608	1326250.755
609	1323992.271
610	1321592.861
611	1318699.452
612	1316481.712
613	1314398.247
614	1311954.648
615	1310212.895
616	1308392.55
617	1306161.804
618	1303998.549
619	1301684.472
620	1299490.154
621	1297737.541
622	1295291.663
623	1293481.56
624	1290579.744
625	1286048.422
626	1284002.612
627	1282380.563
628	1280130.087
629	1278628.221
630	1276886.813
631	1275257.942
632	1271873.627
633	1267924.249
634	1265413.475
635	1263016.927
636	1260738.485
637	1258624.295
638	1256861.488
639	1254972.751
640	1251112.035
641	1248811.597
642	1246366.585
643	1244482.652
644	1243395.55
645	1241109.719
646	1239696.172
647	1238006.144
648	1236524.865
649	1232794.596
650	1228840.884
651	1225012.877
652	1221310.162
653	1221016.756
654	1218422.409
655	1216892.066
656	1213938.848
657	1211769.741
658	1210119.402
659	1207644.616
660	1205281.608
661	1203719.123
662	1201558.199
663	1199850.156
664	1197674.404
665	1195351.608
666	1194049.445
667	1192043.297
668	1190288.41
669	1188504.14
670	1185317.056
671	1182819.371
672	1180877.025
673	1179472.997
674	1176945.393
675	1174428.925
676	1172104.179
677	1170232.354
678	1167875.671
679	1165685.942
680	1163560.061
681	1160081.549
682	1158271.258
683	1156729.644
684	1153627.872
685	1151731.531
686	1150735.164
687	1149540.51
688	1148251.905
689	1146141.755
690	1142770.983
691	1141231.808
692	1139272.039
693	1137251.534
694	1135132.655
695	1133812.972
696	1132135.363
697	1129792.982
698	1126928.177
699	1125523.125
700	1122878.851
701	1120293.413
702	1116264.673
703	1114968.28
704	1112732.363
705	1110445.121
706	1108310.793
707	1105740.429
708	1103182.558
709	1102096.993
710	1099161.008
711	1096966.347
712	1094835.947
713	1092338.587
714	1089611.056
715	1088912.675
716	1087252.512
717	1084568.827
718	1082728.893
719	1081143.639
720	1078852.01
721	1075823.196
722	1073104.214
723	1070811.578
724	1068975.667
725	1067747.561
726	1064140.486
727	1061603.564
728	1058842.845
729	1056560.397
730	1053536.289
731	1051238.157
732	1049574.335
733	1047903.094
734	1044895.724
735	1042699.185
736	1039377.224
737	1037885.358
738	1036040.595
739	1033122.205
740	1031993.677
741	1029887.62
742	1027763.017
743	1025868.568
744	1024563.273
745	1023074.03
746	1021267.58
747	1019634.928
748	1016678.37
749	1015229.989
750	1013674.894
751	1011309.793
752	1009591.418
753	1007441.006
754	1004489.931
755	1002875.8
756	1001325.797
757	998983.9752
758	996399.0769
759	996262.1272
760	994867.05
761	992366.1226
762	989228.856
763	987296.6801
764	985728.1305
765	983644.0091
766	982256.359
767	980839.5764
768	979379.1207
769	977795.8829
770	975363.478
771	973142.5566
772	972117.246
773	969585.8358
774	968516.1954
775	966962.6862
776	965094.5504
777	963331.7627
778	961397.827
779	958193.6949
780	955655.8626
781	954670.6125
782	952212.0959
783	950555.8283
784	948170.3502
785	946677.7799
786	943558.5008
787	941576.176
788	939686.9223
789	938155.8577
790	936711.166
791	935258.0115
792	933346.8043
793	931735.843
794	929355.6508
795	926997.177
796	925694.2034
797	922881.6666
798	920044.3193
799	918760.7439
800	916785.7736
801	915942.7944
802	914733.6919
803	913538.2872
804	911880.011
805	909071.7757
806	908438.024
807	907486.9185
808	905358.1158
809	902930.4205
810	901446.7822
811	900510.8893
812	899795.6571
813	898580.9325
814	896050.9809
815	894775.932
816	894015.0672
817	892717.3041
818	891813.4313
819	889818.8931
820	888544.3993
821	886532.0453
822	885237.2259
823	883975.7926
824	881611.2691
825	880074.7463
826	878880.4502
827	878191.789
828	875893.3788
829	873819.6856
830	872368.1221
831	870974.9943
832	870037.2476
833	868177.2304
834	866998.6348
835	865067.8432
836	863495.6762
837	861725.1813
838	860651.0301
839	858934.7197
840	857008.0219
841	855521.6916
842	854887.849
843	853847.8456
844	852862.2022
845	851249.9086
846	849665.8743
847	848345.6531
848	847442.3405
849	844693.6682
850	843695.6561
851	841523.8418
852	840629.3715
853	838984.4464
854	837636.9032
855	836178.9461
856	834490.5406
857	833495.8291
858	832451.5484
859	831284.8495
860	829388.0174
861	828374.5869
862	826646.5563
863	825634.2182
864	824169.0401
865	822491.2498
866	820369.7423
867	818352.9763
868	816753.6852
869	814316.1715
870	813094.5164
871	811901.8962
872	810911.0119
873	808924.3543
874	807956.2534
875	807373.7684
876	806069.3981
877	804762.4654
878	803011.9215
879	800277.472
880	798117.4724
881	796770.8317
882	795466.1521
883	794954.111
884	792899.2694
885	791638.8043
886	789854.3548
887	788565.708
888	786676.8124
889	784989.4289
890	783409.7537
891	781396.5776
892	780053.1515
893	778877.0204
894	777900.6898
895	775393.5936
896	773679.861
897	772255.611
898	770436.7416
899	768405.9874
900	767040.8024
901	765206.6128
902	763933.8537
903	762800.1732
904	762209.9157
905	760995.6779
906	760035.2147
907	758949.4227
908	757502.9101
909	756244.3068
910	754237.8707
911	752781.0363
912	751774.9709
913	749599.3139
914	747944.8302
915	746882.4836
916	745775.7663
917	744261.1664
918	742591.9258
919	741817.5237
920	740009.5309
921	739001.4375
922	738198.7038
923	737097.7208
924	734737.9026
925	733898.7817
926	732914.0734
927	732151.6969
928	731489.189
929	729749.6836
930	728318.8267
931	727374.0079
932	725912.9529
933	725028.1047
934	724151.4705
935	722286.4489
936	720912.9034
937	719532.1543
938	718867.6876
939	716800.6657
940	715626.5211
941	714573.6004
942	712366.7295
943	711254.1121
944	709873.5105
945	708739.9419
946	707753.6809
947	706570.0705
948	705123.6298
949	703559.0578
950	703065.1357
951	702463.955
952	700951.1198
953	698758.497
954	697735.6163
955	696390.9068
956	694802.808
957	692976.1701
958	691561.7027
959	690889.0785
960	688985.4885
961	687757.0808
962	686934.7014
963	685726.5604
964	684490.959
965	683423.3209
966	682071.1357
967	680254.5517
968	678930.6165
969	678180.5115
970	677602.1865
971	675997.0897
972	675038.2171
973	673104.5358
974	672684.3215
975	671384.0161
976	669377.7286
977	668639.4792
978	667255.3402
979	665931.5985
980	663889.7077
981	661600.2384
982	660463.1003
983	659271.4633
984	658438.8011
985	657279.1209
986	656707.2684
987	655171.1509
988	654515.843
989	653124.6673
990	652128.2383
991	650500.1721
992	649455.2701
993	647757.8338
994	646395.3601
995	645907.1582
996	645095.2064
997	642933.0629
998	642138.4765
999	640893.7608
